depth,months,shape,bond,dd,dd_bh,ret,ret_bh,w,гистерезис 2%,подтверждение 2 мес,стоп −15%,стоп −20%,depth_real
-0.4,3,saw,flat,-23.85020782489773,-43.86853957654549,23.151489774080613,24.4188287967656,0.008674761893162498,-21.728470240981125,-30.14897881813966,-18.273318619765742,-20.15341586086325,-0.4
-0.4,3,saw,fall,-14.19358905925554,-38.4983627864066,99.29803786498977,121.4780673789377,0.0016411711689766886,-18.922761618050966,-14.832949072057822,-14.216991601136597,-14.216991601136597,-0.4
-0.4,6,front,rally,-19.22710667021995,-48.25409108449181,52.898220342543546,-3.171043039425925,0.0003038225242237235,-22.28175793781839,-15.24787667209797,-16.68660209939241,-19.52219081495316,-0.5
-0.4,6,front,flat,-31.99061731512877,-60.60977959180987,-23.625068007202177,-49.62920576545745,0.0011021013133605657,-31.457738920352128,-24.96024838701909,-18.33824961505629,-21.628153533507653,-0.6
-0.4,6,front,fall,-23.187113921787304,-44.33261830362688,34.76631224217699,-13.711252042559918,0.00029190791543063635,-22.22527029590783,-20.11855271696278,-18.497192106885805,-21.61042543637973,-0.4
-0.4,6,linear,rally,-20.622076248062736,-43.15799198457076,37.69631877176385,17.05374282816472,0.002126757669566065,-22.08227276037118,-16.17212716843882,-16.170817318580777,-20.932164519653817,-0.4
-0.4,6,linear,flat,-28.562971693747883,-36.42064948588939,24.71325353107028,63.68896205533956,0.0046288255161143765,-28.71801089062891,-27.182527282450764,-20.534121336691197,-22.995714011098944,-0.4
-0.4,6,linear,fall,-26.15808069676316,-61.767097731797705,-17.079677479543953,-52.43730345427782,0.0006255169616370778,-22.85258109283808,-20.59234582814724,-21.377708119837543,-23.596347052761,-0.6
-0.4,6,back,rally,-32.5722000926613,-51.58165052964849,-7.756552893345425,-16.71277871124206,0.0011545255920501494,-27.893501379727816,-22.65312021678312,-22.367004343829088,-25.291484315989443,-0.5
-0.4,6,back,flat,-18.188185006900028,-57.26665904255941,64.93039799119269,-8.418217611469636,0.00418798499077015,-25.400933817105976,-19.371775319954164,-16.308195325876074,-18.175863059423115,-0.6
-0.4,6,back,fall,-23.00266185724855,-60.75428105060443,1.1135813935732708,-25.62467244313652,0.0007923214847402985,-33.767071991018774,-20.52104953366458,-18.69974588170436,-21.11658162986541,-0.6
-0.4,6,saw,rally,-22.179197825994542,-69.73499051544285,3.1004931233974853,-65.74801645316744,0.0023293060190485468,-26.79856779665395,-21.71346962784608,-19.240154610011984,-21.526907348238723,-0.6
-0.4,6,saw,flat,-45.51115025907191,-59.02178410516904,-26.175136493813824,-39.720331351073455,0.005069666041458602,-40.05219199557182,-38.76825725431468,-27.79416904797015,-30.75691468180509,-0.6
-0.4,6,saw,fall,-25.917264312431985,-41.84901780621316,-8.066335503687515,7.5759011882210014,0.0013427764109809274,-31.0960315359609,-28.166810380095765,-20.003117439824518,-24.089108825175565,-0.4
-0.4,12,front,rally,-19.25390097121502,-62.25518924102864,93.99481573135714,-5.4503703576863405,0.0010690051778242124,-14.867342536915151,-17.53797345060566,-16.537585425886626,-19.613581267644356,-0.6
-0.4,12,front,flat,-28.50697731789915,-60.24240210550676,71.89879274137789,19.21966848844596,0.0023266583282056386,-22.8667618175596,-24.94220652616549,-19.783147536872782,-22.3607440304445,-0.6
-0.4,12,front,fall,-41.9209057185725,-46.54195964100681,-20.00007779008841,-17.996290343200304,0.0002641071615800995,-49.998533350553785,-32.487562676074724,-30.594314644632657,-31.360282615253265,-0.5
-0.4,12,linear,rally,-32.409891782404934,-64.34643931166129,141.9970709815958,45.60575226387087,0.0032070155334726373,-30.98711500574312,-33.39026018521387,-23.82422654102132,-26.47446863710047,-0.6
-0.4,12,linear,flat,-19.764287288119643,-59.55281278338498,10.177763653459415,-24.760852928994336,0.0069799749846169165,-14.884591554261794,-16.748025668835854,-17.073402353470644,-19.789405389315327,-0.6
-0.4,12,linear,fall,-29.27193247962474,-61.29301916010388,9.30813103584831,-22.894251762986627,0.0013205358079004979,-27.7984694743589,-24.74822894306044,-19.35279877822565,-23.344691970294217,-0.6
-0.4,12,back,rally,-30.45574462246021,-72.4658968315736,-12.497171284573827,-62.53408749778615,0.004062219675732007,-24.1888710561142,-24.14526336323487,-23.04320985802326,-25.02160674917645,-0.6
-0.4,12,back,flat,-30.922177420609533,-71.74159615370402,12.75711432392388,-32.1091541415502,0.008841301647181428,-40.725252850360384,-24.735738092064828,-21.37081256223896,-23.623987657516366,-0.6
-0.4,12,back,fall,-35.813346886167515,-44.27324868343885,31.196036823665786,54.16467621555257,0.002341750166010216,-33.57554289693637,-31.24888492797632,-23.76520107907084,-27.14267102574241,-0.4
-0.4,12,saw,rally,-19.75101260448975,-69.71125857562699,111.34046681282028,-41.06996858401731,0.0049174238179913775,-19.81792840837005,-12.427531026873773,-17.68845101625198,-20.3702570890662,-0.6
-0.4,12,saw,flat,-34.476019543818104,-62.956234790155705,6.385459040786845,-23.5713365016052,0.01070262830974594,-41.23720977137015,-28.48865065417179,-22.00635382297047,-26.553485326305893,-0.6
-0.4,12,saw,fall,-30.90775294031656,-45.063996998592216,78.74285968773552,79.28044003047596,0.0012148929432684579,-31.61670149396496,-30.544580522961017,-22.805426750664004,-25.30377988613361,-0.5
-0.4,24,front,rally,-42.248359335202245,-69.55034910151844,-21.055859490528995,-51.30730695617408,0.0005063708737062057,-47.71174847341379,-38.73896048114469,-25.864486608217195,-28.59941882735344,-0.6
-0.4,24,front,flat,-37.614768880617255,-57.011092842177376,-10.571956597647624,-17.679579694074842,0.0011021013133605657,-45.8141143024541,-42.07059899116761,-24.77432220263761,-28.350704017981865,-0.6
-0.4,24,front,fall,-34.32877576516332,-72.18311414694621,-23.32384578858532,-65.48516779092526,0.00020850565387902595,-25.272954243641934,-19.46401233332282,-24.02076967625666,-26.09631106481888,-0.6
-0.4,24,linear,rally,-21.135803111799323,-47.88423524221689,57.6848213469118,-11.004530673347157,0.0009114675726711706,-23.437819626301803,-20.868184188730112,-18.13579404500072,-20.778640657696144,-0.5
-0.4,24,linear,flat,-22.48763717891993,-58.073839273576034,-1.059783248246049,-31.68144432358767,0.003306303940081697,-18.969791482992846,-19.395977449918988,-18.147343415281945,-21.04290038948216,-0.6
-0.4,24,linear,fall,-34.295630845415616,-51.93148442603695,147.16402180598715,71.62725230167568,0.00037531017698224674,-40.18839375324617,-30.880229631824164,-22.793894597076857,-26.301051642144945,-0.5
-0.4,24,back,rally,-20.925264139499568,-55.15557496539728,54.379584186474574,-3.977683072438065,0.0019242093200835821,-21.35473764299292,-18.179212101542184,-16.771767594839115,-20.891875807697147,-0.6
