,nav
1994-09-14,224493221.32942033
1994-09-15,227325327.51453817
1994-09-16,225700914.60630628
1994-09-19,225921698.73928496
1994-09-20,221636302.25659627
1994-09-21,221631846.27856398
1994-09-22,221101740.67632458
1994-09-23,220346232.60480013
1994-09-26,221468303.53576976
1994-09-27,221313658.23269555
1994-09-28,223036645.6505984
1994-09-29,221905591.27800125
1994-09-30,221600649.6678266
1994-10-03,221070539.0001862
1994-10-04,217761730.69141322
1994-10-05,217832467.09895867
1994-10-06,217152187.80723602
1994-10-07,218123931.75224596
1994-10-10,220447873.91780782
1994-10-11,223747717.00973722
1994-10-12,224043630.37395304
1994-10-13,224790075.9050552
1994-10-14,225761934.45287013
1994-10-17,225306570.86544812
1994-10-18,224776437.8364184
1994-10-19,225823372.01286042
1994-10-20,224316640.97954902
1994-10-21,223411048.62973523
1994-10-24,221528904.34641236
1994-10-25,221749757.0413676
1994-10-26,222571380.86815682
1994-10-27,223918684.27529722
1994-10-28,228645455.45621458
1994-10-31,227814722.71843162
1994-11-01,225256645.59425542
1994-11-02,223975534.71843806
1994-11-03,225172597.65930995
1994-11-04,222239109.49537423
1994-11-07,222910554.15651995
1994-11-08,224633186.4449448
1994-11-09,225004202.101769
1994-11-10,223422596.7423665
1994-11-11,222591843.60456944
1994-11-14,224690206.72736484
1994-11-15,223934678.34487665
1994-11-16,224681095.0868793
1994-11-17,223174488.44690484
1994-11-18,222869652.9675864
1994-11-21,220612130.98057878
1994-11-22,215801185.28858438
1994-11-23,216998440.86764127
1994-11-25,218023489.65513405
1994-11-28,218995343.80333927
1994-11-29,218915765.91728494
1994-11-30,218611062.23077548
1994-12-01,216428751.07719836
1994-12-02,216367291.34511927
1994-12-05,216415380.18906787
1994-12-06,216463560.93714526
1994-12-07,216510858.4145672
1994-12-08,216558247.5550643
1994-12-09,216605565.72159505
1994-12-12,216653382.29684246
1994-12-13,216701697.3293147
1994-12-14,216749209.63251483
1994-12-15,216795591.9085173
1994-12-16,216842147.15761617
1994-12-19,216888712.40411028
1994-12-20,216934634.99429935
1994-12-21,216979995.7083988
1994-12-22,217025774.31661204
1994-12-23,217072134.15285927
1994-12-27,217118503.89223632
1994-12-28,217164801.87230057
1994-12-29,217211028.03518456
1994-12-30,217257427.4442986
1995-01-03,217303836.76499578
1995-01-04,218229274.89905167
1995-01-05,218224918.17916238
1995-01-06,218443025.3227702
1995-01-09,218661236.1775791
1995-01-10,218879176.65146214
1995-01-11,219023118.4126855
1995-01-12,219092984.51066622
1995-01-13,221684221.38627285
1995-01-16,223014953.0768367
1995-01-17,223084596.53111297
1995-01-18,222857575.5795353
1995-01-19,221592305.3197858
1995-01-20,220772113.404132
1995-01-23,221435243.9194584
1995-01-24,221727314.79742414
1995-01-25,222316289.96873233
1995-01-26,222534409.96359548
1995-01-27,223419919.3551939
1995-01-30,222451198.2396541
1995-01-31,223336815.75303525
1995-02-01,223258108.4436193
1995-02-02,224161326.03060812
1995-02-03,230289098.9901376
1995-02-06,230691423.68998548
1995-02-07,231135306.8257965
1995-02-08,230962761.14240512
1995-02-09,230151649.33767778
1995-02-10,229796341.0296936
1995-02-13,230114762.9192421
1995-02-14,232006540.07461056
1995-02-15,234217777.92783126
1995-02-16,234710981.8594282
1995-02-17,233329185.8368764
1995-02-21,233222677.1778677
1995-02-22,236524133.25275734
1995-02-23,236833040.76789284
1995-02-24,237579081.00014848
1995-02-27,237302701.98752132
1995-02-28,239548923.93619165
1995-03-01,237886712.87772185
1995-03-02,237014824.10407072
1995-03-03,236085386.15113974
1995-03-06,235490303.8434871
1995-03-07,233201159.42090467
1995-03-08,235110385.17251036
1995-03-09,236019370.9731998
1995-03-10,240579881.04633522
1995-03-13,241100388.7141194
1995-03-14,244504480.03675336
1995-03-15,244024043.4246864
1995-03-16,246155770.92337316
1995-03-17,245174506.6388169
1995-03-20,245254090.42864916
1995-03-21,243931674.21370867
1995-03-22,243283438.05752182
1995-03-23,243421896.27988654
1995-03-24,248957632.64833704
1995-03-27,250730852.56069902
1995-03-28,248820798.50747356
1995-03-29,248728643.47127232
1995-03-30,247905712.1780655
1995-03-31,246543940.6141508
1995-04-03,248282085.92720383
1995-04-04,250228701.21760714
1995-04-05,250213030.61292166
1995-04-06,251640824.72100136
1995-04-07,251048587.35485935
1995-04-10,251417505.11211053
1995-04-11,251075568.8854586
1995-04-12,252426721.29591376
1995-04-13,254330090.8238149
1995-04-17,252819097.48187396
1995-04-18,251957167.13226217
1995-04-19,251353400.8238382
1995-04-20,252439942.24016628
1995-04-21,253834589.84014034
1995-04-24,256839758.3727337
1995-04-25,256131106.84135792
1995-04-26,256345985.9205277
1995-04-27,256409256.5039595
1995-04-28,256241728.0512505
1995-05-01,255273172.56542242
1995-05-02,256692192.04723766
1995-05-03,261652724.76609445
1995-05-04,263536756.51074198
1995-05-05,266215199.3952074
1995-05-08,268013370.4860001
1995-05-09,269494299.9472716
1995-05-10,268830152.1298098
1995-05-11,269141476.29766107
1995-05-12,269473604.9725926
1995-05-15,271793632.09875387
1995-05-16,272899909.93277586
1995-05-17,272616742.11259055
1995-05-18,267151522.7633095
1995-05-19,267290258.03903395
1995-05-22,269929714.5348096
1995-05-23,273541058.81788784
1995-05-24,275885672.4226686
1995-05-25,277056303.4137298
1995-05-26,273725271.54706985
1995-05-30,275789193.8039922
1995-05-31,281347135.7862206
1995-06-01,282629853.84160656
1995-06-02,284937598.0913185
1995-06-05,287158401.54922837
1995-06-06,286639431.1224091
1995-06-07,282643632.549444
1995-06-08,281542824.42361397
1995-06-09,276149602.8134632
1995-06-12,278393274.65342003
1995-06-13,286112971.4974276
1995-06-14,285624443.3175795
1995-06-15,286205465.1959082
1995-06-16,286397281.2435592
1995-06-19,291407485.1068237
1995-06-20,290003132.85588956
1995-06-21,290449099.80797863
1995-06-22,296156840.529443
1995-06-23,295106686.80406624
1995-06-26,290597308.9796373
1995-06-27,289114312.1529161
1995-06-28,291687396.6676404
1995-06-29,287238841.40396
1995-06-30,288525025.8723194
1995-07-03,289678538.61346495
1995-07-05,291204889.6345575
1995-07-06,297891106.3983497
1995-07-07,299410208.6799017
1995-07-10,299650996.93607146
1995-07-11,297112823.8178008
1995-07-12,300521539.5039692
1995-07-13,300054512.13988733
1995-07-14,298458490.592505
1995-07-17,298653010.81558704
1995-07-18,295392474.6918127
1995-07-19,288184606.98771816
1995-07-20,289233993.0139727
1995-07-21,286787503.3627472
1995-07-24,290503215.5705937
1995-07-25,293353515.3051185
