,nav
1998-07-28,618012094.544932
1998-07-29,614665537.8220109
1998-07-30,624586536.1968628
1998-07-31,611482248.9910291
1998-08-03,610982407.0493425
1998-08-04,589238345.833188
1998-08-05,597048954.0744739
1998-08-06,599065579.6353008
1998-08-07,601830406.4531368
1998-08-10,598162761.1238222
1998-08-11,591216859.4313085
1998-08-12,599533368.179557
1998-08-13,590660487.5219525
1998-08-14,585724323.1204977
1998-08-17,597905830.4782078
1998-08-18,608124308.2888111
1998-08-19,606122194.5080438
1998-08-20,604365561.0144744
1998-08-21,602341748.0173742
1998-08-24,607050367.8642932
1998-08-25,610598461.9693425
1998-08-26,606605207.0061109
1998-08-27,585733895.49071
1998-08-28,585093165.6773264
1998-08-31,547596532.7228606
1998-09-01,569288363.5916085
1998-09-02,566965293.1908157
1998-09-03,570024655.122187
1998-09-04,570519344.172201
1998-09-08,569962693.1939261
1998-09-09,573879850.151587
1998-09-10,582110650.3870718
1998-09-11,578362395.3405869
1998-09-14,577723526.1999321
1998-09-15,576515917.7740374
1998-09-16,577436323.3184587
1998-09-17,580923366.5477968
1998-09-18,585268726.5555825
1998-09-21,585900191.862148
1998-09-22,584267402.4282455
1998-09-23,586040845.1071706
1998-09-24,588241487.097051
1998-09-25,590014196.2136565
1998-09-28,589789641.24142
1998-09-29,590708269.7398177
1998-09-30,597206440.7661127
1998-10-01,602520398.8849083
1998-10-02,603537345.8916361
1998-10-05,610959068.3182575
1998-10-06,607208507.8847669
1998-10-07,602510683.666532
1998-10-08,592165162.5922858
1998-10-09,582289120.7133087
1998-10-12,582273486.8705814
1998-10-13,584490437.6647934
1998-10-14,591774980.6011987
1998-10-15,591836955.2260637
1998-10-16,598636011.899169
1998-10-19,597410155.0471268
1998-10-20,592714043.1245546
1998-10-21,591820935.9492683
1998-10-22,590451127.1206228
1998-10-23,586704001.1499294
1998-10-26,585490612.5423352
1998-10-27,590356812.4693837
1998-10-28,591855354.2831146
1998-10-29,594793880.5549796
1998-10-30,590098321.7665627
1998-11-02,584138205.826687
1998-11-03,579086399.7373481
1998-11-04,582952586.9112964
1998-11-05,591345661.2143745
1998-11-06,588098383.6499238
1998-11-09,586304882.3323252
1998-11-10,587852602.8692862
1998-11-11,583866280.9636929
1998-11-12,585082383.4387015
1998-11-13,588399219.3390083
1998-11-16,591489108.238914
1998-11-17,590535111.7212285
1998-11-18,594947327.7895012
1998-11-19,600056709.3317035
1998-11-20,605891870.8015834
1998-11-23,619257382.5858699
1998-11-24,614719401.5191114
1998-11-25,615634463.7758492
1998-11-27,621142437.0004765
1998-11-30,607254350.8466872
1998-12-01,618325156.1104835
1998-12-02,620381767.3975675
1998-12-03,610832804.152379
1998-12-04,624478223.4309138
1998-12-07,624115425.6343727
1998-12-08,625693011.8666033
1998-12-09,628707154.2170794
1998-12-10,621171307.3489374
1998-12-11,618484762.1331153
1998-12-14,602647973.0272789
1998-12-15,615809870.6681099
1998-12-16,616891611.2970035
1998-12-17,626424666.0563956
